Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Money Supply M0,1959-01-31T00:00:00,50463,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-02-28T00:00:00,49805,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-03-31T00:00:00,49733,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-04-30T00:00:00,50058,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-05-31T00:00:00,50112,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-06-30T00:00:00,50337,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-07-31T00:00:00,50802,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-08-31T00:00:00,50661,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-09-30T00:00:00,50722,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-10-31T00:00:00,50660,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-11-30T00:00:00,50877,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1959-12-31T00:00:00,51504,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-01-31T00:00:00,50661,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-02-29T00:00:00,49609,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-03-31T00:00:00,49482,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-04-30T00:00:00,49656,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-05-31T00:00:00,49734,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-06-30T00:00:00,50015,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-07-31T00:00:00,50455,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-08-31T00:00:00,50279,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-09-30T00:00:00,49920,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-10-31T00:00:00,50130,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-11-30T00:00:00,50251,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1960-12-31T00:00:00,49763,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-01-31T00:00:00,49103,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-02-28T00:00:00,48441,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-03-31T00:00:00,48362,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-04-30T00:00:00,48455,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-05-31T00:00:00,48494,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-06-30T00:00:00,48875,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-07-31T00:00:00,49216,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-08-31T00:00:00,49334,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-09-30T00:00:00,49599,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-10-31T00:00:00,50032,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-11-30T00:00:00,50484,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1961-12-31T00:00:00,51281,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-01-31T00:00:00,50603,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-02-28T00:00:00,49841,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-03-31T00:00:00,50024,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-04-30T00:00:00,50365,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-05-31T00:00:00,50543,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-06-30T00:00:00,50908,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-07-31T00:00:00,51314,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-08-31T00:00:00,51175,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-09-30T00:00:00,51322,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-10-31T00:00:00,51552,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-11-30T00:00:00,51344,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1962-12-31T00:00:00,52257,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-01-31T00:00:00,51635,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-02-28T00:00:00,51013,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-03-31T00:00:00,51206,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-04-30T00:00:00,51489,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-05-31T00:00:00,51702,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-06-30T00:00:00,52195,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-07-31T00:00:00,52768,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-08-31T00:00:00,52600,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-09-30T00:00:00,52910,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-10-31T00:00:00,53117,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-11-30T00:00:00,53775,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-12-31T00:00:00,54913,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-01-31T00:00:00,54238,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-02-29T00:00:00,53472,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-03-31T00:00:00,53830,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-04-30T00:00:00,54052,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-05-31T00:00:00,54273,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-06-30T00:00:00,54940,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-07-31T00:00:00,55426,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-08-31T00:00:00,55427,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-09-30T00:00:00,55887,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-10-31T00:00:00,56162,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-11-30T00:00:00,56786,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1964-12-31T00:00:00,57737,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-01-31T00:00:00,57138,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-02-28T00:00:00,56508,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-03-31T00:00:00,56696,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-04-30T00:00:00,57089,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-05-31T00:00:00,57165,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-06-30T00:00:00,57761,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-07-31T00:00:00,58407,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-08-31T00:00:00,58192,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-09-30T00:00:00,58574,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-10-31T00:00:00,59137,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-11-30T00:00:00,59614,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1965-12-31T00:00:00,61022,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-01-31T00:00:00,60520,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-02-28T00:00:00,59751,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-03-31T00:00:00,59933,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-04-30T00:00:00,60510,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-05-31T00:00:00,60631,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-06-30T00:00:00,61102,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-07-31T00:00:00,62064,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-08-31T00:00:00,61734,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-09-30T00:00:00,62359,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-10-31T00:00:00,62603,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-11-30T00:00:00,62993,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1966-12-31T00:00:00,64185,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-01-31T00:00:00,63850,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-02-28T00:00:00,63282,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-03-31T00:00:00,63166,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-04-30T00:00:00,63274,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-05-31T00:00:00,63382,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-06-30T00:00:00,64005,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-07-31T00:00:00,64821,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-08-31T00:00:00,64699,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-09-30T00:00:00,65225,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-10-31T00:00:00,65894,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-11-30T00:00:00,66453,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1967-12-31T00:00:00,67818,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-01-31T00:00:00,67698,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-02-29T00:00:00,67213,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-03-31T00:00:00,67521,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-04-30T00:00:00,67953,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-05-31T00:00:00,68077,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-06-30T00:00:00,68874,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-07-31T00:00:00,69700,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-08-31T00:00:00,69887,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-09-30T00:00:00,70048,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-10-31T00:00:00,70830,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-11-30T00:00:00,71727,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-12-31T00:00:00,73139,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-01-31T00:00:00,72865,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-02-28T00:00:00,71978,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-03-31T00:00:00,71768,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-04-30T00:00:00,72361,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-05-31T00:00:00,73358,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-06-30T00:00:00,73509,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-07-31T00:00:00,73725,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-08-31T00:00:00,73773,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-09-30T00:00:00,73780,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-10-31T00:00:00,74436,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-11-30T00:00:00,75569,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1969-12-31T00:00:00,76752,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-01-31T00:00:00,76398,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-02-28T00:00:00,75237,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-03-31T00:00:00,75276,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-04-30T00:00:00,76294,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-05-31T00:00:00,76649,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-06-30T00:00:00,76900,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-07-31T00:00:00,77960,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-08-31T00:00:00,78227,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-09-30T00:00:00,78684,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-10-31T00:00:00,78691,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-11-30T00:00:00,79468,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1970-12-31T00:00:00,80987,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-01-31T00:00:00,81170,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-02-28T00:00:00,80565,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-03-31T00:00:00,80788,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-04-30T00:00:00,81641,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-05-31T00:00:00,82405,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-06-30T00:00:00,82894,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-07-31T00:00:00,84184,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-08-31T00:00:00,84079,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-09-30T00:00:00,84431,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-10-31T00:00:00,84692,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-11-30T00:00:00,85491,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1971-12-31T00:00:00,86798,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-01-31T00:00:00,87220,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-02-29T00:00:00,86081,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-03-31T00:00:00,86656,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-04-30T00:00:00,87888,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-05-31T00:00:00,88543,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-06-30T00:00:00,88896,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-07-31T00:00:00,90075,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-08-31T00:00:00,90098,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-09-30T00:00:00,90193,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-10-31T00:00:00,91423,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-11-30T00:00:00,90531,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1972-12-31T00:00:00,91381,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-01-31T00:00:00,91688,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-02-28T00:00:00,90275,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-03-31T00:00:00,91118,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-04-30T00:00:00,92586,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-05-31T00:00:00,93118,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-06-30T00:00:00,93732,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-07-31T00:00:00,95575,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-08-31T00:00:00,95828,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-09-30T00:00:00,96226,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-10-31T00:00:00,97484,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-11-30T00:00:00,98343,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1973-12-31T00:00:00,100143,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-01-31T00:00:00,100376,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-02-28T00:00:00,99063,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-03-31T00:00:00,99604,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-04-30T00:00:00,101743,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-05-31T00:00:00,102777,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-06-30T00:00:00,103597,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1974-07-31T00:00:00,105054,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
